
Pressure Sensor Test Program ...

Pressure = 1011.90 hPa , Temperature =  25.13 °C
Pressure = 1011.95 hPa , Temperature =  28.76 °C

Pressure = 1011.93 hPa , Temperature =  28.68 °C

Pressure = 1011.93 hPa , Temperature =  28.62 °C

Pressure = 1011.94 hPa , Temperature =  28.46 °C

Pressure = 1011.90 hPa , Temperature =  28.71 °C

Pressure = 1011.94 hPa , Temperature =  29.15 °C

Pressure = 1011.95 hPa , Temperature =  29.63 °C

Pressure = 1011.96 hPa , Temperature =  29.91 °C

Pressure = 1011.98 hPa , Temperature =  30.29 °C

Pressure = 1011.99 hPa , Temperature =  30.61 °C

Pressure = 1011.98 hPa , Temperature =  30.54 °C

Pressure = 1011.94 hPa , Temperature =  30.14 °C

Pressure = 1011.93 hPa , Temperature =  29.81 °C

Pressure = 1011.97 hPa , Temperature =  29.55 °C

Pressure = 1011.98 hPa , Temperature =  29.32 °C

Pressure = 1011.95 hPa , Temperature =  29.11 °C

Pressure = 1011.97 hPa , Temperature =  28.96 °C

Pressure = 1011.93 hPa , Temperature =  28.84 °C

Pressure = 1011.95 hPa , Temperature =  28.73 °C

Pressure = 1011.96 hPa , Temperature =  28.65 °C

Pressure = 1011.97 hPa , Temperature =  28.59 °C

Pressure = 1011.97 hPa , Temperature =  28.55 °C

Pressure = 1011.93 hPa , Temperature =  28.54 °C

Pressure = 1011.98 hPa , Temperature =  28.53 °C

Pressure = 1011.95 hPa , Temperature =  28.52 °C

Pressure = 1011.96 hPa , Temperature =  28.53 °C

Pressure = 1011.95 hPa , Temperature =  28.52 °C

Pressure = 1011.91 hPa , Temperature =  28.52 °C

Pressure = 1011.93 hPa , Temperature =  28.51 °C

Pressure = 1011.94 hPa , Temperature =  28.50 °C

Pressure = 1011.96 hPa , Temperature =  28.48 °C

Pressure = 1011.94 hPa , Temperature =  28.39 °C

Pressure = 1011.93 hPa , Temperature =  28.30 °C

Pressure = 1011.94 hPa , Temperature =  28.25 °C

Pressure = 1011.94 hPa , Temperature =  28.25 °C

Pressure = 1011.96 hPa , Temperature =  28.26 °C

Pressure = 1011.95 hPa , Temperature =  28.27 °C
